Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Geometry)	Opportunity (Geometry)	Predicted Error Rate (Geometry)	KC (KRE_circle_area)	Opportunity (KRE_circle_area)	Predicted Error Rate (KRE_circle_area)	KC (Khushboo)	Opportunity (Khushboo)	Predicted Error Rate (Khushboo)	KC (MJB-SQRECT-Merge)	Opportunity (MJB-SQRECT-Merge)	Predicted Error Rate (MJB-SQRECT-Merge)	KC (MyKC)	Opportunity (MyKC)	Predicted Error Rate (MyKC)	KC (NNEWWW)	Opportunity (NNEWWW)	Predicted Error Rate (NNEWWW)	KC (New)	Opportunity (New)	Predicted Error Rate (New)	KC (NewModel)	Opportunity (NewModel)	Predicted Error Rate (NewModel)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Textbook)	Opportunity (Textbook)	Predicted Error Rate (Textbook)	KC (Textbook-test)	Opportunity (Textbook-test)	Predicted Error Rate (Textbook-test)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)	KC (Zhulin_Textbook11_SquareRectMerge)	Opportunity (Zhulin_Textbook11_SquareRectMerge)	Predicted Error Rate (Zhulin_Textbook11_SquareRectMerge)	KC (new KC model name)	Opportunity (new KC model name)	Predicted Error Rate (new KC model name)
1	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	RECTANGLE_ABCD	1	(AREA QUESTION1)	1996-02-01 00:00:48	1996-02-01 00:00:48	1996-02-01 00:00:48	1996-02-01 00:00:48	0	0	.	correct	0	0	1	.	Geometry	1	0.4310	rectangle-area	1	0.2322	area	1	0.4635	sq_rect-area	1	0.2179	rectangle-area	1	0.2315	rectangle-area	1	0.2315	square-rect-area	1	0.2179	square-rect-area	1	0.2179	Single-KC	1	0.4310	rectangle-area	1	0.2315	rectangle-area	1	0.2179	KC12	1	0.2117	square-rect-area	1	0.2179	square-rect-area	1	0.2111
2	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	RECTANGLE_ABCD	1	(HEIGHT QUESTION2)	1996-02-01 00:00:48	1996-02-01 00:02:56	1996-02-01 00:02:56	1996-02-01 00:02:56	128	128	.	correct	0	0	1	.	Geometry	2	0.4309	rectangle-area	2	0.2259	area	2	0.4629	sq_rect-area	2	0.2139	rectangle-area	2	0.2251	rectangle-area	2	0.2251	square-rect-area	2	0.2139	square-rect-area	2	0.2139	Single-KC	2	0.4309	rectangle-area	2	0.2251	rectangle-area	2	0.2139	KC69	1	0.3359	square-rect-area	2	0.2139	square-rect-area	2	0.2050
3	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	RECTANGLE_ABCD	1	(BASE QUESTION3)	1996-02-01 00:02:56	1996-02-01 00:03:25	1996-02-01 00:03:25	1996-02-01 00:03:25	29	29	.	correct	0	0	1	.	Geometry	3	0.4309	rectangle-area	3	0.2197	area	3	0.4623	sq_rect-area	3	0.2100	rectangle-area	3	0.2189	rectangle-area	3	0.2189	square-rect-area	3	0.2100	square-rect-area	3	0.2100	Single-KC	3	0.4309	rectangle-area	3	0.2189	rectangle-area	3	0.2100	KC16	1	0.2759	square-rect-area	3	0.2100	square-rect-area	3	0.1991
4	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION1)	1996-02-01 00:04:15	1996-02-01 00:04:15	1996-02-01 00:04:15	1996-02-01 00:04:15	0	0	.	correct	0	0	1	.	Geometry	4	0.4308	rectangle-area	4	0.2136	area	4	0.4617	sq_rect-area	4	0.2062	rectangle-area	4	0.2129	rectangle-area	4	0.2129	square-rect-area	4	0.2062	square-rect-area	4	0.2062	Single-KC	4	0.4308	rectangle-area	4	0.2129	rectangle-area	4	0.2062	KC39	1	0.1890	square-rect-area	4	0.2062	square-rect-area	4	0.1933
5	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION1)	1996-02-01 00:04:15	1996-02-01 00:04:27	1996-02-01 00:04:27	1996-02-01 00:04:27	12	12	.	correct	0	0	1	.	Geometry	5	0.4308	rectangle-area	5	0.2076	area	5	0.4611	sq_rect-area	5	0.2024	rectangle-area	5	0.2069	rectangle-area	5	0.2069	square-rect-area	5	0.2024	square-rect-area	5	0.2024	Single-KC	5	0.4308	rectangle-area	5	0.2069	rectangle-area	5	0.2024	KC53	1	0.1288	square-rect-area	5	0.2024	square-rect-area	5	0.1876
6	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION1)	1996-02-01 00:04:27	1996-02-01 00:04:33	1996-02-01 00:04:33	1996-02-01 00:04:33	6	6	.	correct	0	0	1	.	Geometry	6	0.4307	compose-by-addition	1	0.4642	compose-by-addition	1	0.4708	compose-by-addition	1	0.4625	compose-by-addition	1	0.4627	compose-by-addition	1	0.4627	compose-by-addition	1	0.4625	compose-by-addition	1	0.4625	Single-KC	6	0.4307	compose-by-addition	1	0.4627	compose-by-addition	1	0.4625	KC62	1	0.4683	compose-by-addition	1	0.4625	compose-by-addition	1	0.4892
7	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION2)	1996-02-01 00:04:33	1996-02-01 00:04:42	1996-02-01 00:04:42	1996-02-01 00:04:42	9	9	.	correct	0	0	1	.	Geometry	7	0.4307	rectangle-area	6	0.2018	area	6	0.4605	sq_rect-area	6	0.1986	rectangle-area	6	0.2011	rectangle-area	6	0.2011	square-rect-area	6	0.1986	square-rect-area	6	0.1986	Single-KC	7	0.4307	rectangle-area	6	0.2011	rectangle-area	6	0.1986	KC95	1	0.0631	square-rect-area	6	0.1986	square-rect-area	6	0.1820
8	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION2)	1996-02-01 00:04:42	1996-02-01 00:04:52	1996-02-01 00:04:52	1996-02-01 00:04:52	10	10	.	correct	0	0	1	.	Geometry	8	0.4306	rectangle-area	7	0.1961	area	7	0.4599	sq_rect-area	7	0.1949	rectangle-area	7	0.1954	rectangle-area	7	0.1954	square-rect-area	7	0.1949	square-rect-area	7	0.1949	Single-KC	8	0.4306	rectangle-area	7	0.1954	rectangle-area	7	0.1949	KC8	1	0.0000	square-rect-area	7	0.1949	square-rect-area	7	0.1766
9	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION2)	1996-02-01 00:04:52	1996-02-01 00:04:59	1996-02-01 00:04:59	1996-02-01 00:04:59	7	7	.	correct	0	0	1	.	Geometry	9	0.4306	compose-by-addition	2	0.4642	compose-by-addition	2	0.4708	compose-by-addition	2	0.4625	compose-by-addition	2	0.4627	compose-by-addition	2	0.4627	compose-by-addition	2	0.4625	compose-by-addition	2	0.4625	Single-KC	9	0.4306	compose-by-addition	2	0.4627	compose-by-addition	2	0.4625	KC113	1	0.1639	compose-by-addition	2	0.4625	compose-by-addition	2	0.4892
10	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION3)	1996-02-01 00:04:59	1996-02-01 00:05:12	1996-02-01 00:05:12	1996-02-01 00:05:12	13	13	.	correct	0	0	1	.	Geometry	10	0.4305	rectangle-area	8	0.1905	area	8	0.4593	sq_rect-area	8	0.1912	rectangle-area	8	0.1898	rectangle-area	8	0.1898	square-rect-area	8	0.1912	square-rect-area	8	0.1912	Single-KC	10	0.4305	rectangle-area	8	0.1898	rectangle-area	8	0.1912	KC9	1	0.1266	square-rect-area	8	0.1912	square-rect-area	8	0.1713
11	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION3)	1996-02-01 00:05:12	1996-02-01 00:05:18	1996-02-01 00:05:18	1996-02-01 00:05:18	6	6	.	correct	0	0	1	.	Geometry	11	0.4305	rectangle-area	9	0.1851	area	9	0.4587	sq_rect-area	9	0.1876	rectangle-area	9	0.1843	rectangle-area	9	0.1843	square-rect-area	9	0.1876	square-rect-area	9	0.1876	Single-KC	11	0.4305	rectangle-area	9	0.1843	rectangle-area	9	0.1876	KC127	1	0.1288	square-rect-area	9	0.1876	square-rect-area	9	0.1662
12	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION3)	1996-02-01 00:05:18	1996-02-01 00:05:22	1996-02-01 00:05:22	1996-02-01 00:05:22	4	4	.	correct	0	0	1	.	Geometry	12	0.4304	compose-by-addition	3	0.4642	compose-by-addition	3	0.4708	compose-by-addition	3	0.4625	compose-by-addition	3	0.4627	compose-by-addition	3	0.4627	compose-by-addition	3	0.4625	compose-by-addition	3	0.4625	Single-KC	12	0.4304	compose-by-addition	3	0.4627	compose-by-addition	3	0.4625	KC128	1	0.0641	compose-by-addition	3	0.4625	compose-by-addition	3	0.4892
13	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PARALLELOGRAM_ABDE	1	(AREA QUESTION1)	1996-02-01 00:05:30	1996-02-01 00:05:30	1996-02-01 00:05:30	1996-02-01 00:05:30	0	0	.	correct	0	0	1	.	Geometry	13	0.4303	parallelogram-area	1	0.2501	area	10	0.4581	parallelogram-area	1	0.2489	parallelogram-area	1	0.2490	parallelogram-area	1	0.2490	parallelogram-area	1	0.2489	parallelogram-area	1	0.2489	Single-KC	13	0.4303	parallelogram-area	1	0.2490	parallelogram-area	1	0.2489	KC35	1	0.1482	parallelogram-area	1	0.2489			
14	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PARALLELOGRAM_ABDE	1	(HEIGHT QUESTION2)	1996-02-01 00:05:30	1996-02-01 00:06:10	1996-02-01 00:06:11	1996-02-01 00:06:11	41	.	41	incorrect	1	0	1	.	Geometry	14	0.4303	parallelogram-area	2	0.2501	area	11	0.4575	parallelogram-area	2	0.2489	parallelogram-area	2	0.2490	parallelogram-area	2	0.2490	parallelogram-area	2	0.2489	parallelogram-area	2	0.2489	Single-KC	14	0.4303	parallelogram-area	2	0.2490	parallelogram-area	2	0.2489	KC22	1	0.2223	parallelogram-area	2	0.2489	parallelogram-area	1	0.2967
15	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PARALLELOGRAM_ABDE	1	(BASE QUESTION3)	1996-02-01 00:06:11	1996-02-01 00:06:29	1996-02-01 00:06:29	1996-02-01 00:06:29	18	18	.	correct	0	0	1	.	Geometry	15	0.4302	parallelogram-area	3	0.2501	area	12	0.4569	parallelogram-area	3	0.2489	parallelogram-area	3	0.2490	parallelogram-area	3	0.2490	parallelogram-area	3	0.2489	parallelogram-area	3	0.2489	Single-KC	15	0.4302	parallelogram-area	3	0.2490	parallelogram-area	3	0.2489	KC92	1	0.2897	parallelogram-area	3	0.2489	parallelogram-area	2	0.2967
16	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	SQUARE_ABCD	1	(AREA QUESTION1)	1996-02-01 00:06:53	1996-02-01 00:06:53	1996-02-01 00:06:53	1996-02-01 00:06:53	0	0	.	correct	0	0	1	.	Geometry	16	0.4302	square-area	1	0.1544	area	13	0.4563	sq_rect-area	10	0.1841	square-area	1	0.1533	square-area	1	0.1533	square-rect-area	10	0.1841	square-rect-area	10	0.1841	Single-KC	16	0.4302	square-area	1	0.1533	rectangle-area	10	0.1841	KC75	1	0.0000	square-rect-area	10	0.1841	square-rect-area	10	0.1611
17	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	SQUARE_ABCD	1	(HEIGHT QUESTION2)	1996-02-01 00:06:53	1996-02-01 00:06:56	1996-02-01 00:06:56	1996-02-01 00:06:56	3	3	.	correct	0	0	1	.	Geometry	17	0.4301	square-area	2	0.1544	area	14	0.4557	sq_rect-area	11	0.1806	square-area	2	0.1533	square-area	2	0.1533	square-rect-area	11	0.1806	square-rect-area	11	0.1806	Single-KC	17	0.4301	square-area	2	0.1533	rectangle-area	11	0.1806	KC17	1	0.0758	square-rect-area	11	0.1806	square-rect-area	11	0.1562
18	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	SQUARE_ABCD	1	(BASE QUESTION3)	1996-02-01 00:06:56	1996-02-01 00:07:02	1996-02-01 00:07:02	1996-02-01 00:07:02	6	6	.	correct	0	0	1	.	Geometry	18	0.4301	square-area	3	0.1543	area	15	0.4551	sq_rect-area	12	0.1771	square-area	3	0.1533	square-area	3	0.1533	square-rect-area	12	0.1771	square-rect-area	12	0.1771	Single-KC	18	0.4301	square-area	3	0.1533	rectangle-area	12	0.1771	KC24	1	0.0758	square-rect-area	12	0.1771	square-rect-area	12	0.1514
19	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(DOOR-AREA QUESTION1)	1996-02-01 00:07:10	1996-02-01 00:07:10	1996-02-01 00:07:10	1996-02-01 00:07:10	0	0	.	correct	0	0	1	.	Geometry	19	0.4300	rectangle-area	10	0.1798	area	16	0.4545	sq_rect-area	13	0.1737	rectangle-area	10	0.1790	rectangle-area	10	0.1790	square-rect-area	13	0.1737	square-rect-area	13	0.1737	Single-KC	19	0.4300	rectangle-area	10	0.1790	rectangle-area	13	0.1737	KC80	1	0.1740	square-rect-area	13	0.1737			
20	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(WALL-AREA QUESTION1)	1996-02-01 00:07:10	1996-02-01 00:07:14	1996-02-01 00:07:15	1996-02-01 00:07:15	5	.	5	incorrect	1	0	1	.	Geometry	20	0.4300	rectangle-area	11	0.1745	area	17	0.4539	sq_rect-area	14	0.1704	rectangle-area	11	0.1738	rectangle-area	11	0.1738	square-rect-area	14	0.1704	square-rect-area	14	0.1704	Single-KC	20	0.4300	rectangle-area	11	0.1738	rectangle-area	14	0.1704	KC28	1	0.5577	square-rect-area	14	0.1704			
