"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Step Name","Step Start Time","First Transaction Time","Correct Transaction Time","Step End Time","Step Duration (sec)","Correct Step Duration (sec)","Error Step Duration (sec)","First Attempt","Incorrects","Hints","Corrects","Condition","KC (Geometry)","Opportunity (Geometry)","Predicted Error Rate (Geometry)","KC (KRE_circle_area)","Opportunity (KRE_circle_area)","Predicted Error Rate (KRE_circle_area)","KC (Khushboo)","Opportunity (Khushboo)","Predicted Error Rate (Khushboo)","KC (MJB-SQRECT-Merge)","Opportunity (MJB-SQRECT-Merge)","Predicted Error Rate (MJB-SQRECT-Merge)","KC (MyKC)","Opportunity (MyKC)","Predicted Error Rate (MyKC)","KC (NNEWWW)","Opportunity (NNEWWW)","Predicted Error Rate (NNEWWW)","KC (New)","Opportunity (New)","Predicted Error Rate (New)","KC (NewModel)","Opportunity (NewModel)","Predicted Error Rate (NewModel)","KC (Single-KC)","Opportunity (Single-KC)","Predicted Error Rate (Single-KC)","KC (Textbook)","Opportunity (Textbook)","Predicted Error Rate (Textbook)","KC (Textbook-test)","Opportunity (Textbook-test)","Predicted Error Rate (Textbook-test)","KC (Unique-step)","Opportunity (Unique-step)","Predicted Error Rate (Unique-step)","KC (Zhulin_Textbook11_SquareRectMerge)","Opportunity (Zhulin_Textbook11_SquareRectMerge)","Predicted Error Rate (Zhulin_Textbook11_SquareRectMerge)","KC (new KC model name)","Opportunity (new KC model name)","Predicted Error Rate (new KC model name)"
"1",1,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","RECTANGLE_ABCD",1,"(AREA QUESTION1)","1996-02-01 00:00:48","1996-02-01 00:00:48","1996-02-01 00:00:48","1996-02-01 00:00:48",0,0,664.296216145755,"correct",0,0,1,0,"Geometry",1,0.431,"rectangle-area",1,0.2322,"area",1,0.4635,"sq_rect-area",1,0.2179,"rectangle-area",1,0.2315,"rectangle-area",1,0.2315,"square-rect-area",1,0.2179,"square-rect-area",1,0.2179,"Single-KC",1,0.431,"rectangle-area",1,0.2315,"rectangle-area",1,0.2179,24,1,0.2117,"square-rect-area",1,0.2179,9,1,0.2111
"2",2,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","RECTANGLE_ABCD",1,"(HEIGHT QUESTION2)","1996-02-01 00:00:48","1996-02-01 00:02:56","1996-02-01 00:02:56","1996-02-01 00:02:56",128,128,575.130956776708,"correct",0,0,1,0,"Geometry",2,0.4309,"rectangle-area",2,0.2259,"area",2,0.4629,"sq_rect-area",2,0.2139,"rectangle-area",2,0.2251,"rectangle-area",2,0.2251,"square-rect-area",2,0.2139,"square-rect-area",2,0.2139,"Single-KC",2,0.4309,"rectangle-area",2,0.2251,"rectangle-area",2,0.2139,99,1,0.3359,"square-rect-area",2,0.2139,9,2,0.205
"3",3,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","RECTANGLE_ABCD",1,"(BASE QUESTION3)","1996-02-01 00:02:56","1996-02-01 00:03:25","1996-02-01 00:03:25","1996-02-01 00:03:25",29,29,494.335596839094,"correct",0,0,1,0,"Geometry",3,0.4309,"rectangle-area",3,0.2197,"area",3,0.4623,"sq_rect-area",3,0.21,"rectangle-area",3,0.2189,"rectangle-area",3,0.2189,"square-rect-area",3,0.21,"square-rect-area",3,0.21,"Single-KC",3,0.4309,"rectangle-area",3,0.2189,"rectangle-area",3,0.21,41,1,0.2759,"square-rect-area",3,0.21,9,3,0.1991
"4",4,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(POOL-AREA QUESTION1)","1996-02-01 00:04:15","1996-02-01 00:04:15","1996-02-01 00:04:15","1996-02-01 00:04:15",0,0,421.501045423824,"correct",0,0,1,0,"Geometry",4,0.4308,"rectangle-area",4,0.2136,"area",4,0.4617,"sq_rect-area",4,0.2062,"rectangle-area",4,0.2129,"rectangle-area",4,0.2129,"square-rect-area",4,0.2062,"square-rect-area",4,0.2062,"Single-KC",4,0.4308,"rectangle-area",4,0.2129,"rectangle-area",4,0.2062,66,1,0.189,"square-rect-area",4,0.2062,9,4,0.1933
"5",5,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(LARGE-RECTANGLE-AREA QUESTION1)","1996-02-01 00:04:15","1996-02-01 00:04:27","1996-02-01 00:04:27","1996-02-01 00:04:27",12,12,356.218211621806,"correct",0,0,1,0,"Geometry",5,0.4308,"rectangle-area",5,0.2076,"area",5,0.4611,"sq_rect-area",5,0.2024,"rectangle-area",5,0.2069,"rectangle-area",5,0.2069,"square-rect-area",5,0.2024,"square-rect-area",5,0.2024,"Single-KC",5,0.4308,"rectangle-area",5,0.2069,"rectangle-area",5,0.2024,82,1,0.1288,"square-rect-area",5,0.2024,9,5,0.1876
"6",6,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(SIDEWALK-AREA QUESTION1)","1996-02-01 00:04:27","1996-02-01 00:04:33","1996-02-01 00:04:33","1996-02-01 00:04:33",6,6,298.07800452395,"correct",0,0,1,0,"Geometry",6,0.4307,"compose-by-addition",1,0.4642,"compose-by-addition",1,0.4708,"compose-by-addition",1,0.4625,"compose-by-addition",1,0.4627,"compose-by-addition",1,0.4627,"compose-by-addition",1,0.4625,"compose-by-addition",1,0.4625,"Single-KC",6,0.4307,"compose-by-addition",1,0.4627,"compose-by-addition",1,0.4625,92,1,0.4683,"compose-by-addition",1,0.4625,4,1,0.4892
"7",7,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(POOL-AREA QUESTION2)","1996-02-01 00:04:33","1996-02-01 00:04:42","1996-02-01 00:04:42","1996-02-01 00:04:42",9,9,246.671333221163,"correct",0,0,1,0,"Geometry",7,0.4307,"rectangle-area",6,0.2018,"area",6,0.4605,"sq_rect-area",6,0.1986,"rectangle-area",6,0.2011,"rectangle-area",6,0.2011,"square-rect-area",6,0.1986,"square-rect-area",6,0.1986,"Single-KC",7,0.4307,"rectangle-area",6,0.2011,"rectangle-area",6,0.1986,128,1,0.0631,"square-rect-area",6,0.1986,9,6,0.182
"8",8,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(LARGE-RECTANGLE-AREA QUESTION2)","1996-02-01 00:04:42","1996-02-01 00:04:52","1996-02-01 00:04:52","1996-02-01 00:04:52",10,10,201.589106804357,"correct",0,0,1,0,"Geometry",8,0.4306,"rectangle-area",7,0.1961,"area",7,0.4599,"sq_rect-area",7,0.1949,"rectangle-area",7,0.1954,"rectangle-area",7,0.1954,"square-rect-area",7,0.1949,"square-rect-area",7,0.1949,"Single-KC",8,0.4306,"rectangle-area",7,0.1954,"rectangle-area",7,0.1949,111,1,-4.16333634234434e-17,"square-rect-area",7,0.1949,9,7,0.1766
"9",9,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(SIDEWALK-AREA QUESTION2)","1996-02-01 00:04:52","1996-02-01 00:04:59","1996-02-01 00:04:59","1996-02-01 00:04:59",7,7,162.422234364439,"correct",0,0,1,0,"Geometry",9,0.4306,"compose-by-addition",2,0.4642,"compose-by-addition",2,0.4708,"compose-by-addition",2,0.4625,"compose-by-addition",2,0.4627,"compose-by-addition",2,0.4627,"compose-by-addition",2,0.4625,"compose-by-addition",2,0.4625,"Single-KC",9,0.4306,"compose-by-addition",2,0.4627,"compose-by-addition",2,0.4625,17,1,0.1639,"compose-by-addition",2,0.4625,4,2,0.4892
"10",10,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(POOL-AREA QUESTION3)","1996-02-01 00:04:59","1996-02-01 00:05:12","1996-02-01 00:05:12","1996-02-01 00:05:12",13,13,128.76162499232,"correct",0,0,1,0,"Geometry",10,0.4305,"rectangle-area",8,0.1905,"area",8,0.4593,"sq_rect-area",8,0.1912,"rectangle-area",8,0.1898,"rectangle-area",8,0.1898,"square-rect-area",8,0.1912,"square-rect-area",8,0.1912,"Single-KC",10,0.4305,"rectangle-area",8,0.1898,"rectangle-area",8,0.1912,122,1,0.1266,"square-rect-area",8,0.1912,9,8,0.1713
