No of DDE-Post,No of DDEs,Session-ID,Student-ID,Total Time(mins)
3,32,"""E1C8F-Feb11-00-57-19"")","""E1C8F""",7.15
7,65,"""E1C8F-Feb11-01-10-07"")","""E1C8F""",15.216666666666667
3,36,"""E1C8F-Feb11-01-25-53"")","""E1C8F""",3.8166666666666664
8,58,"""E1C8F-Feb11-01-30-20"")","""E1C8F""",9.016666666666667
2,1,"""E17E5-Apr01-19-02-23"")","""E17E5""",5.95
3,7,"""E1F7D-Apr01-23-53-05"")","""E1F7D""",7.283333333333333
3,32,"""E1F7D-Apr02-00-00-47"")","""E1F7D""",3.4166666666666665
3,17,"""E1F7D-Apr02-00-04-23"")","""E1F7D""",0.23333333333333334
3,9,"""E1F7D-Apr02-00-05-07"")","""E1F7D""",1.9
5,8,"""E1F7D-Apr02-00-07-16"")","""E1F7D""",13.666666666666666
3,3,"""E1F7D-Apr02-00-21-22"")","""E1F7D""",1.25
3,3,"""E1F7D-Apr02-00-27-32"")","""E1F7D""",0.2833333333333333
7,41,"""E1F7D-Apr02-00-27-59"")","""E1F7D""",8.15
3,11,"""E1F7D-Apr02-00-36-16"")","""E1F7D""",2.8666666666666667
4,9,"""E1F7D-Apr02-00-39-23"")","""E1F7D""",3.05
4,5,"""E1F7D-Apr02-00-42-50"")","""E1F7D""",1.9
3,12,"""E1F7D-Apr02-00-44-59"")","""E1F7D""",3.85
3,6,"""E1F7D-Apr02-00-49-13"")","""E1F7D""",1.3833333333333333
3,15,"""E1F7D-Apr02-00-50-50"")","""E1F7D""",5.366666666666666
3,3,"""E1F7D-Apr02-00-56-29"")","""E1F7D""",9.15
3,39,"""treacy-Feb11-08-55-37"")","""treacy""",9.316666666666666
3,14,"""E1575-Feb11-12-52-58"")","""E1575""",0.5666666666666667
3,17,"""E1575-Feb11-12-53-47"")","""E1575""",0.2833333333333333
3,38,"""E1575-Feb11-12-54-20"")","""E1575""",0.4666666666666667
3,15,"""E1575-Feb11-12-55-04"")","""E1575""",0.2
3,38,"""E1575-Feb11-12-55-34"")","""E1575""",0.3333333333333333
3,42,"""E1947-Feb11-13-02-53"")","""E1947""",0.31666666666666665
10,52,"""E17E5-Feb11-12-45-09"")","""E17E5""",20.383333333333333
3,30,"""E17E5-Feb11-13-11-21"")","""E17E5""",10.016666666666667
3,7,"""E19D7-Feb11-13-43-31"")","""E19D7""",0.13333333333333333
3,29,"""E19D7-Feb11-13-43-58"")","""E19D7""",0.25
3,4,"""E19D7-Feb11-13-44-38"")","""E19D7""",2.65
3,14,"""E30BD-Feb11-13-54-40"")","""E30BD""",2.8
3,32,"""E19D7-Feb11-13-56-31"")","""E19D7""",4.866666666666667
5,52,"""E19D7-Feb11-14-01-47"")","""E19D7""",24.216666666666665
3,27,"""E19D7-Feb11-14-26-14"")","""E19D7""",10.333333333333334
4,36,"""E17E5-Feb11-17-49-01"")","""E17E5""",4.75
3,22,"""E141F-Apr02-10-59-45"")","""E141F""",6.666666666666667
8,28,"""E141F-Apr02-11-08-13"")","""E141F""",14.716666666666667
4,22,"""E141F-Apr02-11-23-06"")","""E141F""",2.8666666666666667
3,13,"""E141F-Apr02-11-26-06"")","""E141F""",2.1166666666666667
3,33,"""E141F-Apr02-11-29-32"")","""E141F""",11.516666666666667
3,60,"""E160B-Apr02-11-42-28"")","""E160B""",5.316666666666666
9,28,"""E141F-Apr02-11-41-12"")","""E141F""",16.083333333333332
5,59,"""E2B77-Apr02-12-14-03"")","""E2B77""",16.383333333333333
3,35,"""E2B77-Apr02-12-30-42"")","""E2B77""",6.683333333333334
5,31,"""E2B77-Apr02-12-37-44"")","""E2B77""",8.6
4,37,"""E2B77-Apr02-12-46-57"")","""E2B77""",5.1
3,49,"""E2B77-Apr02-12-52-13"")","""E2B77""",7.883333333333333
5,8,"""E2B77-Apr02-13-01-10"")","""E2B77""",2.283333333333333
3,25,"""E2B77-Apr02-13-03-47"")","""E2B77""",7.616666666666667
4,25,"""E160B-Apr02-13-55-09"")","""E160B""",9.55
3,23,"""E160B-Apr02-14-05-31"")","""E160B""",0.2833333333333333
3,16,"""E160B-Apr02-14-06-04"")","""E160B""",3.033333333333333
4,13,"""E160B-Apr02-14-09-28"")","""E160B""",11.85
3,11,"""E160B-Apr02-14-21-44"")","""E160B""",7.316666666666666
3,11,"""E160B-Apr02-14-30-00"")","""E160B""",4.316666666666666
3,13,"""E160B-Apr02-14-35-52"")","""E160B""",6.4
3,30,"""E141F-Apr02-17-29-38"")","""E141F""",0.3
3,24,"""E141F-Apr02-17-30-11"")","""E141F""",0.2833333333333333
4,26,"""E141F-Apr02-17-30-37"")","""E141F""",8.75
3,20,"""E141F-Apr02-17-39-31"")","""E141F""",4.433333333333334
3,16,"""E232B-Apr02-18-13-54"")","""E232B""",1.1833333333333333
15,45,"""E141F-Apr02-17-44-17"")","""E141F""",35.31666666666667
4,54,"""E141F-Apr02-18-19-47"")","""E141F""",22.25
3,38,"""E141F-Apr02-18-42-11"")","""E141F""",2.2333333333333334
10,64,"""E232B-Apr02-20-47-30"")","""E232B""",59.766666666666666
8,80,"""E232B-Apr02-21-47-33"")","""E232B""",24.933333333333334
3,40,"""E20EB-Feb12-09-40-43"")","""E20EB""",0.5333333333333333
3,39,"""E20EB-Feb12-09-41-23"")","""E20EB""",0.15
5,40,"""E20EB-Feb12-09-41-42"")","""E20EB""",4.866666666666667
4,42,"""E20EB-Feb12-09-46-47"")","""E20EB""",1.8166666666666667
3,41,"""E20EB-Feb12-09-48-59"")","""E20EB""",0.15
9,89,"""E20EB-Feb12-09-49-18"")","""E20EB""",11.966666666666667
3,56,"""E1971-Apr03-09-33-45"")","""E1971""",0.35
3,56,"""E1971-Apr03-09-35-55"")","""E1971""",0.35
3,9,"""E1971-Apr03-09-36-31"")","""E1971""",0.7
3,57,"""E1971-Apr03-09-37-29"")","""E1971""",0.8666666666666667
6,17,"""E1971-Apr03-09-38-49"")","""E1971""",5.15
2,1,"""E17E5-Apr03-11-12-29"")","""E17E5""",0.25
8,55,"""E1659-Apr03-13-00-00"")","""E1659""",37.43333333333333
3,11,"""E1659-Apr03-13-51-33"")","""E1659""",1.3166666666666667
4,31,"""E1575-Apr03-13-48-54"")","""E1575""",8.45
4,32,"""E1575-Apr03-13-57-43"")","""E1575""",6.9
8,37,"""E25E9-Apr03-14-04-00"")","""E25E9""",10.65
4,23,"""E1575-Apr03-14-15-25"")","""E1575""",3.45
3,16,"""E1575-Apr03-14-19-34"")","""E1575""",2.9
4,20,"""E25E9-Apr03-14-14-59"")","""E25E9""",8.516666666666667
4,52,"""E1575-Apr03-14-22-53"")","""E1575""",10.583333333333334
5,11,"""E2B77-Apr03-14-33-22"")","""E2B77""",1.65
3,10,"""E1FCB-Apr03-14-43-37"")","""E1FCB""",1.7833333333333332
4,65,"""E1575-Apr03-14-34-10"")","""E1575""",11.916666666666666
3,8,"""E1FCB-Apr03-14-45-39"")","""E1FCB""",1.2333333333333334
9,70,"""E25E9-Apr03-14-23-41"")","""E25E9""",23.9
3,20,"""E25E9-Apr03-14-47-48"")","""E25E9""",0.5833333333333334
3,32,"""E25E9-Apr03-14-48-35"")","""E25E9""",3.6
3,13,"""E2B77-Apr03-14-50-53"")","""E2B77""",1.45
3,16,"""E2B77-Apr03-14-52-42"")","""E2B77""",1.3
4,29,"""E2B77-Apr03-14-54-15"")","""E2B77""",3.05
10,87,"""E1575-Apr03-14-47-13"")","""E1575""",15.716666666666667
3,13,"""E25E9-Apr03-14-52-51"")","""E25E9""",10.583333333333334
3,44,"""E1575-Apr03-15-03-12"")","""E1575""",2.6
3,36,"""E1575-Apr03-15-06-06"")","""E1575""",0.4166666666666667
3,10,"""E1FCB-Apr03-14-51-13"")","""E1FCB""",15.4
4,49,"""E2B77-Apr03-14-57-35"")","""E2B77""",9.666666666666666
3,8,"""E1FCB-Apr03-15-09-46"")","""E1FCB""",2.4
3,6,"""E1F7D-Apr03-15-13-58"")","""E1F7D""",0.25
3,58,"""E1575-Apr03-15-06-47"")","""E1575""",7.6
3,8,"""E1FCB-Apr03-15-12-33"")","""E1FCB""",2.466666666666667
3,18,"""E2B77-Apr03-15-08-10"")","""E2B77""",7.716666666666667
3,11,"""E1FCB-Apr03-15-15-09"")","""E1FCB""",1.95
3,11,"""E1FCB-Apr03-15-17-15"")","""E1FCB""",2.6
2,1,"""E18C9-Apr03-15-18-59"")","""E18C9""",1.6
5,36,"""E1F7D-Apr03-15-14-24"")","""E1F7D""",11.3
3,7,"""E1FCB-Apr03-15-26-18"")","""E1FCB""",1.25
3,51,"""E1575-Apr03-15-15-07"")","""E1575""",13.083333333333334
3,9,"""E1FCB-Apr03-15-27-46"")","""E1FCB""",0.9
3,36,"""E1575-Apr03-15-28-31"")","""E1575""",0.43333333333333335
3,6,"""E1FCB-Apr03-15-29-54"")","""E1FCB""",0.48333333333333334
2,1,"""E18C9-Apr03-15-23-31"")","""E18C9""",7.483333333333333
4,22,"""E1F7D-Apr03-15-25-53"")","""E1F7D""",8.633333333333333
3,5,"""E1F7D-Apr03-15-34-43"")","""E1F7D""",0.7333333333333333
4,38,"""E1575-Apr03-15-30-45"")","""E1575""",5.733333333333333
3,5,"""E1F7D-Apr03-15-35-43"")","""E1F7D""",1.1666666666666667
3,28,"""E1575-Apr03-15-36-47"")","""E1575""",0.5166666666666667
3,21,"""E1F7D-Apr03-15-37-31"")","""E1F7D""",1.4166666666666667
2,1,"""E18C9-Apr03-15-32-28"")","""E18C9""",6.983333333333333
3,9,"""E1F7D-Apr03-15-39-04"")","""E1F7D""",0.5666666666666667
3,8,"""E1F7D-Apr03-15-39-47"")","""E1F7D""",0.5
3,9,"""E1F7D-Apr03-15-40-30"")","""E1F7D""",1.0333333333333334
2,1,"""E18C9-Apr03-15-41-52"")","""E18C9""",0.25
2,1,"""E18C9-Apr03-15-42-57"")","""E18C9""",0.15
3,9,"""E1F7D-Apr03-15-41-41"")","""E1F7D""",1.6833333333333333
3,24,"""E1F7D-Apr03-15-43-39"")","""E1F7D""",0.9666666666666667
3,6,"""E1F7D-Apr03-15-44-49"")","""E1F7D""",0.43333333333333335
3,9,"""E1F7D-Apr03-15-45-23"")","""E1F7D""",0.4666666666666667
3,11,"""E1F7D-Apr03-15-46-19"")","""E1F7D""",7.083333333333333
3,13,"""E1F7D-Apr03-15-53-41"")","""E1F7D""",0.38333333333333336
6,23,"""E20A9-Apr03-16-21-00"")","""E20A9""",8.4
3,22,"""E20A9-Apr03-16-29-56"")","""E20A9""",2.183333333333333
4,14,"""E20A9-Apr03-16-32-59"")","""E20A9""",3.1
3,28,"""E2787-Apr03-16-42-26"")","""E2787""",0.9666666666666667
3,28,"""E2787-Apr03-16-43-40"")","""E2787""",0.3333333333333333
5,42,"""E20A9-Apr03-16-36-29"")","""E20A9""",12.283333333333333
6,21,"""E2787-Apr03-16-44-13"")","""E2787""",7.916666666666667
3,31,"""E1C47-Apr03-16-47-37"")","""E1C47""",5.8
3,28,"""E1C47-Apr03-16-53-40"")","""E1C47""",2.15
6,27,"""E2787-Apr03-16-52-57"")","""E2787""",8.616666666666667
4,24,"""E2787-Apr03-17-01-46"")","""E2787""",2.5
3,14,"""E2787-Apr03-17-04-27"")","""E2787""",1.6
14,52,"""E20A9-Apr03-16-49-14"")","""E20A9""",22.666666666666668
6,36,"""E2787-Apr03-17-06-14"")","""E2787""",9.05
4,24,"""E20A9-Apr03-17-12-19"")","""E20A9""",4.683333333333334
3,18,"""E20A9-Apr03-17-17-20"")","""E20A9""",2.216666666666667
