"","ï..Row","Sample","Anon.Student.Id","Problem.Hierarchy","Problem.Name","Problem.View","Problem.Start.Time","Problem.End.Time","Latency..sec.","Steps.Missing.Start.Times","Hints","Incorrects","Corrects","Avg.Corrects","Steps","Avg.Assistance.Score","Correct.First.Attempts","Condition","KCs..Geometry.","Steps.without.KCs..Geometry.","KC.List..Geometry.","KCs..KRE_circle_area.","Steps.without.KCs..KRE_circle_area.","KC.List..KRE_circle_area.","KCs..Khushboo.","Steps.without.KCs..Khushboo.","KC.List..Khushboo.","KCs..MJB.SQRECT.Merge.","Steps.without.KCs..MJB.SQRECT.Merge.","KC.List..MJB.SQRECT.Merge.","KCs..MyKC.","Steps.without.KCs..MyKC.","KC.List..MyKC.","KCs..NNEWWW.","Steps.without.KCs..NNEWWW.","KC.List..NNEWWW.","KCs..New.","Steps.without.KCs..New.","KC.List..New.","KCs..NewModel.","Steps.without.KCs..NewModel.","KC.List..NewModel.","KCs..Single.KC.","Steps.without.KCs..Single.KC.","KC.List..Single.KC.","KCs..Textbook.","Steps.without.KCs..Textbook.","KC.List..Textbook.","KCs..Textbook.test.","Steps.without.KCs..Textbook.test.","KC.List..Textbook.test.","KCs..Unique.step.","Steps.without.KCs..Unique.step.","KC.List..Unique.step.","KCs..Zhulin_Textbook11_SquareRectMerge.","Steps.without.KCs..Zhulin_Textbook11_SquareRectMerge.","KC.List..Zhulin_Textbook11_SquareRectMerge.","KCs..new.KC.model.name.","Steps.without.KCs..new.KC.model.name.","KC.List..new.KC.model.name."
"1",1,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","RECTANGLE_ABCD",1,"2/1/1996 0:00","2/1/1996 0:03",157,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,"KC12, KC16, KC69",1,0,"square-rect-area",1,0,"square-rect-area"
"4",4,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","SQUARE_ABCD",1,"2/1/1996 0:06","2/1/1996 0:07",9,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"square-area",1,0,"area",1,0,"sq_rect-area",1,0,"square-area",1,0,"square-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"square-area",1,0,"rectangle-area",3,0,"KC17, KC24, KC75",1,0,"square-rect-area",1,0,"square-rect-area"
"7",7,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",1,"2/1/1996 0:08","2/1/1996 0:08",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC47",1,0,"trapezoid-area",1,0,"trapezoid-area"
"8",8,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",1,"2/1/1996 0:12","2/1/1996 0:12",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC23",1,0,"trapezoid-area",1,0,"trapezoid-area"
"9",9,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",1,"2/1/1996 0:12","2/1/1996 0:12",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC102",1,0,"trapezoid-area",1,0,"trapezoid-area"
"11",11,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",2,"2/1/1996 0:19","2/1/1996 0:19",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC47",1,0,"trapezoid-area",1,0,"trapezoid-area"
"12",12,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",2,"2/1/1996 0:20","2/1/1996 0:20",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC23",1,0,"trapezoid-area",1,0,"trapezoid-area"
"13",13,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",2,"2/1/1996 0:21","2/1/1996 0:21",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC102",1,0,"trapezoid-area",1,0,"trapezoid-area"
"15",15,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",3,"2/1/1996 0:25","2/1/1996 0:25",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC47",1,0,"trapezoid-area",1,0,"trapezoid-area"
"16",16,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",3,"2/1/1996 0:27","2/1/1996 0:27",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC23",1,0,"trapezoid-area",1,0,"trapezoid-area"
